Date,Activity,Activity type,Unit,Amount executed
2025-12-23,Iron mining,Railway,m3,995.6037554614428
2025-04-22,Walling,Building,m2,3677.936821024752
2025-02-19,Rolling/Tractor,Road,m2,4546.589223825573
2025-06-26,Pavement,Road,m2,2408.9754109943915
2025-03-13,Laying steel rail,Railway,m,4279.552681596842
2025-09-02,Cement making,Building,m3,2664.098062531417
2025-09-28,Laying steel rail,Railway,m,4493.986190033331
2025-03-13,Walling,Building,m2,3554.604597883645
2025-03-21,Coat preparation,Road,L,1392.8456582477804
2025-02-12,Walling,Building,m2,575.326197447042
2025-03-26,Foundation pouring,Building,m3,3668.0946927412224
2025-08-25,Pavement,Road,m2,3184.7329555667143
2025-02-28,Removing trees,Building,m2,3839.8891051864475
2025-10-13,Pavement,Road,m2,1564.6664010548761
2025-12-28,Rolling/Tractor,Road,m2,4465.130300291226
2025-08-07,Iron mining,Railway,m3,3219.813207984553
2025-07-26,Subbase application,Road,m2,3303.0581447451145
2025-02-14,Pavement,Road,m2,4843.7528112945465
2025-10-13,Walling,Building,m2,1166.3818833115024
2025-06-10,Terrain leveling,Building,m3,1337.9277908723564
2025-07-09,Terrain leveling,Building,m3,3352.6048008360845
2025-03-27,Cement making,Building,m3,2027.1078750682602
2025-05-11,Foundation pouring,Building,m3,207.50201781515986
2025-11-25,Cement making,Building,m3,4209.078177847885
2025-07-31,Iron mining,Railway,m3,2846.36835933646
2025-12-18,Terrain leveling,Building,m3,2931.035737914727
2025-10-09,Rolling/Tractor,Road,m2,4283.213617293674
2025-12-25,Coat preparation,Road,L,2758.5163748030527
2025-09-04,Foundation pouring,Building,m3,2987.517660353985
2025-10-31,Walling,Building,m2,736.9913881347284
2025-01-28,Cement making,Building,m3,1105.7612399692362
2025-04-23,Anchorage,Railway,m2,3418.316120657338
2025-11-17,Walling,Building,m2,2513.439626954534
2025-03-23,Cement making,Building,m3,4895.128939047016
2025-04-15,Terrain leveling,Building,m3,374.6935694676029
2025-01-01,Removing trees,Building,m2,151.57854412927995
2025-08-28,Iron mining,Railway,m3,4712.521562816236
2025-06-18,Foundation pouring,Building,m3,578.2994653332513
2025-10-20,Ballast,Railway,m3,4473.571542436198
2025-10-27,Rolling/Tractor,Road,m2,3327.6089641659264
2025-04-16,Cement making,Building,m3,907.9555553926693
2025-03-18,Ballast,Railway,m3,1900.092004737871
2025-08-26,Foundation pouring,Building,m3,4585.955314625128
2025-10-23,Ballast,Railway,m3,3289.1011500499008
2025-11-27,Ballast,Railway,m3,2708.8295991333734
2025-06-20,Walling,Building,m2,2482.5798168753727
2025-06-08,Foundation pouring,Building,m3,4318.529066886967
2025-11-30,Coat preparation,Road,L,3683.8053161268776
2025-12-15,Iron mining,Railway,m3,4708.647574515308
2025-03-18,Rolling/Tractor,Road,m2,1300.2563992371397
2025-05-16,Rolling/Tractor,Road,m2,2533.481589404889
2025-07-16,Removing trees,Building,m2,2333.357277188459
2025-09-30,Terrain leveling,Building,m3,410.0592486629262
2025-12-12,Terrain leveling,Building,m3,4036.2127834567023
2025-05-10,Walling,Building,m2,925.2695169841757
2025-08-05,Removing trees,Building,m2,580.8871506403584
2025-05-27,Rolling/Tractor,Road,m2,1971.959426918094
2025-02-13,Ballast,Railway,m3,464.93164045014356
2025-09-24,Iron mining,Railway,m3,4928.645593172123
2025-12-17,Pavement,Road,m2,696.7224814084888
2025-07-01,Anchorage,Railway,m2,3911.2503122692333
2025-01-28,Ballast,Railway,m3,1623.1415236695152
2025-03-21,Ballast,Railway,m3,3815.34371787506
2025-07-13,Terrain leveling,Building,m3,27.94724616222377
2025-07-09,Cement making,Building,m3,2146.443558824338
2025-10-04,Cement making,Building,m3,1745.995041582541
2025-04-24,Anchorage,Railway,m2,2326.0700450713693
2025-12-09,Subbase application,Road,m2,152.77270419630784
2025-06-25,Removing trees,Building,m2,2743.9116402647164
2025-10-10,Walling,Building,m2,4130.407128563481
2025-07-07,Iron mining,Railway,m3,1892.4572793503007
2025-04-12,Removing trees,Building,m2,4344.619397280391
2025-12-18,Foundation pouring,Building,m3,4419.980578834979
2025-05-23,Rolling/Tractor,Road,m2,2240.707544654337
2025-09-30,Pavement,Road,m2,4430.396305739328
2025-06-04,Removing trees,Building,m2,2163.5089125152585
2025-05-31,Coat preparation,Road,L,263.1888379913383
2025-07-11,Removing trees,Building,m2,2493.832282678333
2025-06-30,Ballast,Railway,m3,831.6683568499739
2025-09-06,Foundation pouring,Building,m3,973.8062722114954
2025-06-16,Pavement,Road,m2,2270.919303769125
2025-03-08,Foundation pouring,Building,m3,3252.1013979355475
2025-07-02,Cement making,Building,m3,4645.058349483211
2025-05-30,Foundation pouring,Building,m3,637.5493593366499
2025-11-14,Removing trees,Building,m2,2143.2476091190365
2025-12-26,Pavement,Road,m2,611.1975565335648
2025-03-14,Terrain leveling,Building,m3,4021.136107513865
2025-01-03,Foundation pouring,Building,m3,4551.548838021457
2025-12-04,Iron mining,Railway,m3,3344.2266593142435
2025-08-15,Rolling/Tractor,Road,m2,599.281871703769
2025-06-08,Terrain leveling,Building,m3,1796.6545287112147
2025-05-25,Terrain leveling,Building,m3,2584.1358921087835
2025-11-10,Walling,Building,m2,2726.9662232714486
2025-10-13,Ballast,Railway,m3,4400.2548067157195
2025-09-06,Walling,Building,m2,4615.014319745045
2025-06-07,Walling,Building,m2,4323.8800276013735
2025-07-22,Removing trees,Building,m2,23.745513516629792
2025-03-12,Cement making,Building,m3,3179.987162501341
2025-07-01,Pavement,Road,m2,2218.511581144314
2025-03-06,Removing trees,Building,m2,4377.796657232536
2025-09-04,Removing trees,Building,m2,226.0305387099226
2025-08-29,Iron mining,Railway,m3,2028.9201666735346
2025-09-21,Coat preparation,Road,L,2506.0836703007317
2025-11-27,Cement making,Building,m3,250.50712919588324
2025-01-30,Coat preparation,Road,L,2321.6511636944415
2025-09-29,Terrain leveling,Building,m3,3437.7506546962013
2025-10-28,Laying steel rail,Railway,m,1627.0337843430943
2025-01-11,Laying steel rail,Railway,m,2598.5095043893953
2025-07-28,Foundation pouring,Building,m3,3017.5256999854964
2025-10-19,Subbase application,Road,m2,4594.990769085388
2025-07-05,Foundation pouring,Building,m3,1276.716901114811
2025-07-06,Coat preparation,Road,L,2385.166876367029
2025-12-28,Subbase application,Road,m2,956.2016863303912
2025-05-27,Removing trees,Building,m2,4636.008683695735
2025-12-26,Subbase application,Road,m2,2474.432043354957
2025-08-19,Removing trees,Building,m2,4662.209072089792
2025-12-06,Walling,Building,m2,533.1184255775556
2025-01-19,Laying steel rail,Railway,m,2782.7300298421915
2025-02-26,Foundation pouring,Building,m3,1436.7699600841283
2025-10-29,Removing trees,Building,m2,4372.496340833367
2025-06-20,Ballast,Railway,m3,4738.874919436063
2025-12-13,Pavement,Road,m2,1091.4983793996653
2025-04-12,Pavement,Road,m2,3711.425778762519
2025-04-26,Laying steel rail,Railway,m,706.4824915869689
2025-12-18,Coat preparation,Road,L,3486.9230741062934
2025-04-21,Cement making,Building,m3,1273.6635856005053
2025-01-20,Ballast,Railway,m3,2506.992913735164
2025-12-24,Pavement,Road,m2,3151.2640903550664
2025-02-06,Removing trees,Building,m2,2641.9874732094436
2025-01-14,Walling,Building,m2,3769.2881754477335
2025-03-17,Walling,Building,m2,1143.511693133369
2025-05-19,Rolling/Tractor,Road,m2,4446.296653271318
2025-02-14,Ballast,Railway,m3,4438.145739413803
2025-05-10,Anchorage,Railway,m2,3938.9304541787133
2025-05-25,Pavement,Road,m2,2756.555575901268
2025-04-30,Cement making,Building,m3,3203.8039317938064
2025-11-07,Pavement,Road,m2,2167.8873091318446
2025-08-03,Anchorage,Railway,m2,4891.7855255953145
2025-08-27,Foundation pouring,Building,m3,2814.393736015227
2025-09-01,Pavement,Road,m2,1964.6008178504464
2025-09-14,Rolling/Tractor,Road,m2,934.5995258480316
2025-11-26,Removing trees,Building,m2,4090.533409649077
2025-05-06,Foundation pouring,Building,m3,1653.279313394182
2025-12-12,Walling,Building,m2,4941.497675922058
2025-10-28,Cement making,Building,m3,1890.8153205787153
2025-05-17,Removing trees,Building,m2,1464.0658656359217
2025-04-17,Ballast,Railway,m3,100.1664455786222
2025-08-26,Foundation pouring,Building,m3,3652.6482987408554
2025-06-21,Cement making,Building,m3,4733.18588734376
2025-07-29,Rolling/Tractor,Road,m2,318.83221007592664
2025-09-08,Pavement,Road,m2,1335.171351157418
2025-06-20,Ballast,Railway,m3,3066.1472697067043
2025-08-16,Laying steel rail,Railway,m,2292.5293549885573
2025-07-09,Pavement,Road,m2,3867.865760328948
2025-03-26,Laying steel rail,Railway,m,1447.8472909027273
2025-08-09,Foundation pouring,Building,m3,764.8817802874636
2025-02-09,Removing trees,Building,m2,1843.4344738296982
2025-01-31,Laying steel rail,Railway,m,4693.622514912835
2025-01-17,Anchorage,Railway,m2,4661.8531496439555
2025-10-18,Walling,Building,m2,1997.0832169293246
2025-07-13,Removing trees,Building,m2,262.78398724898454
2025-06-03,Pavement,Road,m2,1926.5840129812411
2025-01-28,Terrain leveling,Building,m3,1941.8508263058227
2025-09-15,Walling,Building,m2,4303.224694385251
2025-11-18,Cement making,Building,m3,4390.195735256505
2025-12-16,Rolling/Tractor,Road,m2,1356.1458063896437
2025-11-01,Foundation pouring,Building,m3,3654.478245583231
2025-11-15,Iron mining,Railway,m3,1703.8505641906738
2025-10-05,Laying steel rail,Railway,m,3885.7591490680115
2025-06-14,Coat preparation,Road,L,2093.635577038931
2025-09-30,Subbase application,Road,m2,3131.9978602773394
2025-02-24,Subbase application,Road,m2,195.62355539537668
2025-12-13,Coat preparation,Road,L,1541.5807756844752
2025-06-21,Subbase application,Road,m2,4779.372518602849
2025-09-02,Ballast,Railway,m3,3382.732283719875
2025-06-22,Cement making,Building,m3,3534.3179202984643
2025-06-19,Terrain leveling,Building,m3,383.5338669689448
2025-04-12,Cement making,Building,m3,666.5010415097316
2025-10-28,Rolling/Tractor,Road,m2,3806.654871851639
2025-07-25,Terrain leveling,Building,m3,983.6839367003786
2025-12-25,Iron mining,Railway,m3,2998.240584310251
2025-07-24,Rolling/Tractor,Road,m2,3223.90357688151
2025-10-25,Subbase application,Road,m2,2607.5094758491978
2025-08-13,Subbase application,Road,m2,1878.0523879608047
2025-04-10,Iron mining,Railway,m3,1337.6960157556866
2025-10-06,Laying steel rail,Railway,m,4178.814853191482
2025-03-21,Ballast,Railway,m3,3644.5958711521002
2025-05-09,Rolling/Tractor,Road,m2,484.2454730785362
2025-03-05,Coat preparation,Road,L,4790.0802907112775
2025-01-19,Laying steel rail,Railway,m,4166.832513889276
2025-12-01,Anchorage,Railway,m2,3737.8585500079894
2025-04-13,Laying steel rail,Railway,m,3754.804124897969
2025-07-18,Rolling/Tractor,Road,m2,560.183110741026
2025-10-06,Iron mining,Railway,m3,4372.838139518116
2025-06-09,Coat preparation,Road,L,2929.181601669551
2025-09-16,Ballast,Railway,m3,4139.737268390405
2025-10-22,Iron mining,Railway,m3,3376.5008319576855
2025-05-19,Foundation pouring,Building,m3,4730.91362580502
2025-03-03,Subbase application,Road,m2,910.7934319740074
2025-04-23,Ballast,Railway,m3,4667.944866158069
2025-08-24,Coat preparation,Road,L,1234.4485846105092
2025-04-12,Anchorage,Railway,m2,1404.6576931239824
2025-11-05,Anchorage,Railway,m2,2758.4491378203757
2025-06-29,Pavement,Road,m2,4022.160024080181
2025-11-27,Walling,Building,m2,296.26170446647114
2025-08-18,Pavement,Road,m2,1391.378372295583
2025-07-06,Laying steel rail,Railway,m,1252.5604925869416
2025-09-29,Pavement,Road,m2,312.7037149673634
2025-11-11,Ballast,Railway,m3,198.0452567061064
2025-09-28,Foundation pouring,Building,m3,184.45612512094922
2025-07-13,Rolling/Tractor,Road,m2,1434.7060675431849
2025-03-02,Coat preparation,Road,L,3705.5367522726383
2025-08-16,Walling,Building,m2,863.0602057327841
2025-08-12,Coat preparation,Road,L,4487.744999335361
2025-09-11,Walling,Building,m2,629.957863814542
2025-01-29,Laying steel rail,Railway,m,4979.043900601426
2025-10-22,Removing trees,Building,m2,3487.722415006115
2025-07-04,Ballast,Railway,m3,1004.19635006403
2025-09-24,Laying steel rail,Railway,m,3967.2224997438916
2025-06-12,Pavement,Road,m2,4471.676116541218
2025-06-10,Cement making,Building,m3,1652.9184173745055
2025-03-28,Terrain leveling,Building,m3,4317.963849356584
2025-02-24,Ballast,Railway,m3,1450.298917847005
2025-12-28,Ballast,Railway,m3,3739.024443907264
2025-06-15,Pavement,Road,m2,3518.12773429778
2025-09-01,Laying steel rail,Railway,m,1855.0644782773968
2025-01-13,Walling,Building,m2,2871.6154216242026
2025-07-01,Removing trees,Building,m2,564.0938031537912
2025-05-09,Subbase application,Road,m2,2779.474191441701
2025-07-02,Pavement,Road,m2,1842.2438965785498
2025-01-13,Anchorage,Railway,m2,1318.6154493962315
2025-09-28,Rolling/Tractor,Road,m2,1758.490540721318
2025-01-30,Removing trees,Building,m2,4515.209594002307
2025-11-21,Cement making,Building,m3,1087.0146882984538
2025-09-02,Removing trees,Building,m2,4699.51831042725
2025-09-06,Ballast,Railway,m3,2454.9327248691216
2025-07-10,Subbase application,Road,m2,2203.268248243889
2025-10-12,Coat preparation,Road,L,3273.902264194495
2025-01-04,Coat preparation,Road,L,2610.69246921852
2025-02-24,Walling,Building,m2,322.9364920547134
2025-10-28,Iron mining,Railway,m3,4075.4123230003524
2025-11-14,Removing trees,Building,m2,312.76041588215395
2025-09-04,Iron mining,Railway,m3,2982.130487382469
2025-03-27,Pavement,Road,m2,3339.729210976988
2025-02-28,Iron mining,Railway,m3,571.1210026906105
2025-04-05,Pavement,Road,m2,4084.581776976655
2025-06-19,Coat preparation,Road,L,4270.530335301825
2025-10-31,Terrain leveling,Building,m3,417.38398546232236
2025-08-19,Ballast,Railway,m3,4971.759227112506
2025-07-05,Laying steel rail,Railway,m,3708.5540539658177
2025-09-23,Foundation pouring,Building,m3,4521.239006624726
2025-06-14,Subbase application,Road,m2,324.86542686144315
2025-07-28,Coat preparation,Road,L,1331.6948409298118
2025-08-25,Anchorage,Railway,m2,4201.179907852998
2025-04-25,Walling,Building,m2,3390.825496436805
2025-04-23,Pavement,Road,m2,950.1214563650695
2025-09-22,Terrain leveling,Building,m3,2577.91596383575
2025-01-22,Walling,Building,m2,1114.1008783940554
2025-12-09,Laying steel rail,Railway,m,2211.308200169167
2025-03-02,Coat preparation,Road,L,3022.554617986631
2025-08-24,Coat preparation,Road,L,2123.3327448176246
2025-08-17,Pavement,Road,m2,2421.8333151994275
2025-08-06,Terrain leveling,Building,m3,385.0665804411546
2025-11-11,Ballast,Railway,m3,4960.145508349772
2025-12-18,Rolling/Tractor,Road,m2,4531.329455266555
2025-09-21,Terrain leveling,Building,m3,3583.9495800685595
2025-12-08,Removing trees,Building,m2,3826.2296344638808
2025-08-17,Coat preparation,Road,L,3518.2022155523546
2025-03-30,Anchorage,Railway,m2,4680.2695447976
2025-07-26,Walling,Building,m2,4328.300472584167
2025-06-21,Coat preparation,Road,L,2809.836468457103
2025-07-07,Coat preparation,Road,L,3398.1514250675655
2025-09-07,Laying steel rail,Railway,m,506.5338979831896
2025-07-09,Anchorage,Railway,m2,1292.7038889765756
2025-12-10,Iron mining,Railway,m3,2454.3259232212163
2025-02-03,Anchorage,Railway,m2,2924.9845185885392
2025-03-09,Subbase application,Road,m2,1753.3083751036004
2025-07-01,Removing trees,Building,m2,4222.0874445248965
2025-05-08,Coat preparation,Road,L,4145.916975832871
2025-05-22,Terrain leveling,Building,m3,2320.9134919848852
2025-11-15,Walling,Building,m2,1219.7205881869465
2025-05-07,Iron mining,Railway,m3,4946.398304062169
2025-09-29,Laying steel rail,Railway,m,515.2032754653169
2025-09-10,Cement making,Building,m3,990.4924228312212
2025-11-21,Anchorage,Railway,m2,791.0552218502426
2025-05-19,Laying steel rail,Railway,m,2861.660464835336
2025-04-09,Anchorage,Railway,m2,96.78763782471623
2025-04-15,Laying steel rail,Railway,m,588.900484227417
2025-10-17,Walling,Building,m2,2035.6625620813118
2025-08-05,Walling,Building,m2,3102.3826751644024
2025-10-06,Terrain leveling,Building,m3,542.046111737996
2025-06-12,Iron mining,Railway,m3,1470.280160262778
2025-11-08,Laying steel rail,Railway,m,377.80790046830657
2025-02-27,Laying steel rail,Railway,m,4028.087949683157
2025-09-27,Subbase application,Road,m2,1213.1137677671722
2025-05-15,Foundation pouring,Building,m3,1406.9702052677396
2025-06-02,Walling,Building,m2,2798.0894659371697
2025-10-02,Pavement,Road,m2,4050.058390216251
2025-08-08,Rolling/Tractor,Road,m2,2162.9463549734483
2025-05-29,Coat preparation,Road,L,2233.1656628422625
2025-05-28,Walling,Building,m2,1674.1903041393264
2025-02-16,Removing trees,Building,m2,4196.456905787528
2025-08-26,Subbase application,Road,m2,1901.8165897996864
2025-03-01,Iron mining,Railway,m3,2297.986085764187
2025-03-31,Laying steel rail,Railway,m,1754.6056302269396
2025-10-25,Subbase application,Road,m2,2154.8104296406023
2025-09-22,Terrain leveling,Building,m3,964.8633739400209
2025-05-14,Anchorage,Railway,m2,313.124637724016
2025-07-24,Walling,Building,m2,3356.627626387426
2025-08-11,Cement making,Building,m3,840.406850165899
2025-01-05,Foundation pouring,Building,m3,2128.3202040153446
2025-04-23,Foundation pouring,Building,m3,4349.199615542943
2025-05-27,Cement making,Building,m3,2697.2453839183145
2025-06-21,Rolling/Tractor,Road,m2,4817.4794194945825
2025-04-12,Anchorage,Railway,m2,1173.8058819079372
2025-08-14,Removing trees,Building,m2,3372.622546051741
2025-11-28,Cement making,Building,m3,4801.7555228981
2025-12-26,Pavement,Road,m2,1147.12497251255
2025-07-21,Pavement,Road,m2,4370.568223372799
2025-10-22,Anchorage,Railway,m2,2821.2432199057293
2025-02-11,Walling,Building,m2,689.7595891388852
2025-04-29,Ballast,Railway,m3,2451.7162689179413
2025-02-01,Pavement,Road,m2,334.8316566824944
2025-08-21,Anchorage,Railway,m2,292.22877054748074
2025-09-23,Laying steel rail,Railway,m,3511.8569413181335
2025-07-09,Rolling/Tractor,Road,m2,4170.147258493321
2025-07-19,Laying steel rail,Railway,m,4633.403908914485
2025-08-31,Terrain leveling,Building,m3,2459.576198415093
2025-11-10,Terrain leveling,Building,m3,3002.726426473939
2025-09-27,Removing trees,Building,m2,131.56423124187467
2025-05-11,Coat preparation,Road,L,425.45746499580815
2025-09-29,Pavement,Road,m2,4851.356009142685
2025-11-16,Rolling/Tractor,Road,m2,4027.4206644405417
2025-08-02,Pavement,Road,m2,697.3075541526164
2025-04-17,Walling,Building,m2,2581.9086170361334
2025-02-21,Iron mining,Railway,m3,2098.228523604188
2025-12-02,Iron mining,Railway,m3,3127.581267925485
2025-12-14,Laying steel rail,Railway,m,811.6121291540146
2025-09-14,Coat preparation,Road,L,1086.0733810159873
2025-01-27,Iron mining,Railway,m3,2714.9689191005054
2025-02-25,Cement making,Building,m3,1822.9155562990657
2025-03-24,Ballast,Railway,m3,1361.17969949904
2025-02-19,Rolling/Tractor,Road,m2,2102.290634464198
2025-01-28,Laying steel rail,Railway,m,4395.6852295217595
2025-01-17,Ballast,Railway,m3,1990.6581090012464
2025-07-24,Ballast,Railway,m3,1272.0614598605
2025-06-01,Iron mining,Railway,m3,1900.9554838416536
2025-05-30,Walling,Building,m2,3191.1053096468077
2025-01-31,Cement making,Building,m3,1931.8731782186726
2025-02-10,Rolling/Tractor,Road,m2,4769.356313340562
2025-01-17,Cement making,Building,m3,4848.919773479767
2025-12-22,Pavement,Road,m2,2792.7563738237195
2025-06-09,Foundation pouring,Building,m3,1738.3372106971663
2025-08-02,Cement making,Building,m3,3191.052051963426
2025-02-19,Iron mining,Railway,m3,1913.469745383269
2025-10-09,Laying steel rail,Railway,m,3474.055360422257
2025-06-17,Subbase application,Road,m2,3297.3735466575695
2025-05-13,Laying steel rail,Railway,m,3681.9073085259374
2025-01-08,Cement making,Building,m3,586.1002128275056
2025-10-26,Cement making,Building,m3,4032.2745210111016
2025-05-26,Anchorage,Railway,m2,3714.392652187949
2025-09-07,Terrain leveling,Building,m3,2996.5900703287757
2025-05-27,Iron mining,Railway,m3,809.0630679030403
2025-09-25,Terrain leveling,Building,m3,4338.039593322679
2025-12-16,Terrain leveling,Building,m3,1094.0277802213639
2025-10-23,Laying steel rail,Railway,m,3513.363023514854
2025-11-18,Ballast,Railway,m3,4383.175951019806
2025-09-30,Subbase application,Road,m2,830.4659598715458
2025-03-17,Cement making,Building,m3,3500.6331411375995
2025-03-14,Iron mining,Railway,m3,400.42151329411246
2025-08-28,Pavement,Road,m2,2449.6317866703753
2025-11-09,Terrain leveling,Building,m3,2496.2324533974374
2025-09-26,Laying steel rail,Railway,m,517.5506567984428
2025-08-11,Cement making,Building,m3,3686.564192616779
2025-04-14,Laying steel rail,Railway,m,1971.562810337933
2025-02-21,Iron mining,Railway,m3,539.8367459073411
2025-01-30,Subbase application,Road,m2,2141.929670685762
2025-02-10,Laying steel rail,Railway,m,1766.194886732419
2025-09-15,Cement making,Building,m3,2692.864975362062
2025-10-25,Anchorage,Railway,m2,1089.9734557188433
2025-10-31,Terrain leveling,Building,m3,1788.017610508163
2025-05-04,Coat preparation,Road,L,3615.7238270855014
2025-11-15,Iron mining,Railway,m3,822.3005759293522
2025-09-23,Pavement,Road,m2,1893.4197445542884
2025-05-23,Anchorage,Railway,m2,3926.7251954140665
2025-02-24,Pavement,Road,m2,714.258471748454
2025-10-02,Subbase application,Road,m2,4680.1535029635
2025-01-11,Removing trees,Building,m2,1023.0098109130054
2025-09-27,Iron mining,Railway,m3,2362.898928640599
2025-12-22,Iron mining,Railway,m3,1346.0440862260803
2025-01-20,Anchorage,Railway,m2,752.7177554398318
2025-10-03,Rolling/Tractor,Road,m2,3170.2241012505237
2025-06-04,Foundation pouring,Building,m3,2344.1178664386207
2025-07-14,Terrain leveling,Building,m3,4615.432778533057
2025-06-06,Anchorage,Railway,m2,1026.6602799020964
2025-10-29,Foundation pouring,Building,m3,2105.61460968059
2025-07-10,Ballast,Railway,m3,3605.96638608461
2025-05-27,Cement making,Building,m3,4127.232577401877
2025-09-25,Removing trees,Building,m2,4120.805486558839
2025-04-19,Ballast,Railway,m3,1371.73312789505
2025-04-23,Rolling/Tractor,Road,m2,2088.6131841973765
2025-03-05,Pavement,Road,m2,1876.105801073048
2025-07-12,Subbase application,Road,m2,3597.145361631085
2025-08-04,Coat preparation,Road,L,4223.42466526243
2025-04-07,Rolling/Tractor,Road,m2,408.1645186294153
2025-04-01,Cement making,Building,m3,1448.2603072815998
2025-12-28,Rolling/Tractor,Road,m2,1915.8916250535885
2025-04-05,Rolling/Tractor,Road,m2,3249.2928885718948
2025-12-22,Cement making,Building,m3,1233.638508976558
2025-04-08,Pavement,Road,m2,1166.9909574370035
2025-04-23,Cement making,Building,m3,2801.1375103458686
2025-04-18,Ballast,Railway,m3,4995.8408648326495
2025-10-28,Rolling/Tractor,Road,m2,3506.5416608777405
2025-05-02,Ballast,Railway,m3,2310.7072505830497
2025-07-31,Removing trees,Building,m2,3304.210236818679
2025-09-28,Anchorage,Railway,m2,272.2351271467438
2025-04-06,Terrain leveling,Building,m3,3944.9133133410123
2025-08-14,Cement making,Building,m3,4997.894846046812
2025-07-26,Subbase application,Road,m2,4591.049943617554
2025-05-22,Pavement,Road,m2,1638.8355385561742
2025-02-13,Laying steel rail,Railway,m,497.33276389120005
2025-12-23,Cement making,Building,m3,4768.037199859974
2025-08-27,Laying steel rail,Railway,m,2437.9597989437525
2025-09-14,Coat preparation,Road,L,876.5803586377601
2025-06-24,Rolling/Tractor,Road,m2,354.7694733294604
2025-02-25,Terrain leveling,Building,m3,1290.836081012695
2025-11-20,Pavement,Road,m2,4596.829747210338
2025-01-19,Walling,Building,m2,997.0102560868355
2025-05-24,Cement making,Building,m3,2789.2899006169455
2025-12-04,Cement making,Building,m3,2008.1469312661304
2025-03-23,Laying steel rail,Railway,m,2586.443731451276
2025-02-10,Terrain leveling,Building,m3,4584.160929918427
2025-02-06,Terrain leveling,Building,m3,1468.514274774328
2025-05-22,Laying steel rail,Railway,m,2853.8602135261394
2025-09-27,Walling,Building,m2,80.7380475680397
2025-02-13,Iron mining,Railway,m3,2959.747478908755
2025-04-08,Ballast,Railway,m3,1993.352660480764
2025-08-18,Laying steel rail,Railway,m,506.53295171778467
2025-02-11,Iron mining,Railway,m3,3897.8876450410767
2025-01-23,Ballast,Railway,m3,3832.0125911160426
2025-05-20,Coat preparation,Road,L,3223.9312884239175
2025-11-30,Rolling/Tractor,Road,m2,907.8944983329168
2025-05-04,Pavement,Road,m2,1645.8523956403048
2025-04-27,Anchorage,Railway,m2,3726.301154677863
2025-06-21,Laying steel rail,Railway,m,494.7522177801783
2025-03-14,Walling,Building,m2,2027.4197820545826
2025-07-11,Walling,Building,m2,2350.5261441827597
2025-07-24,Iron mining,Railway,m3,601.8745695282134
2025-01-18,Coat preparation,Road,L,75.01249803175736
2025-02-07,Cement making,Building,m3,68.98553787677896
2025-06-09,Walling,Building,m2,2881.886483129919
2025-07-30,Laying steel rail,Railway,m,1634.6679310797729
2025-07-21,Walling,Building,m2,2203.643994724657
2025-04-03,Terrain leveling,Building,m3,2500.193227884514
2025-06-04,Pavement,Road,m2,3701.5536081455484
2025-11-22,Laying steel rail,Railway,m,1189.64329740682
2025-05-15,Terrain leveling,Building,m3,4721.013892111548
2025-07-14,Walling,Building,m2,3438.2641964353643
2025-06-25,Coat preparation,Road,L,2381.920840753029
2025-06-28,Subbase application,Road,m2,4519.084410637017
2025-01-07,Cement making,Building,m3,730.3615489164899
2025-06-06,Rolling/Tractor,Road,m2,2048.482629965823
2025-05-08,Terrain leveling,Building,m3,2492.532646123448
2025-10-16,Pavement,Road,m2,3704.624367538854
2025-04-13,Subbase application,Road,m2,1851.930622984459
2025-01-04,Foundation pouring,Building,m3,2701.9811521150154
2025-10-05,Subbase application,Road,m2,3813.636994637603
2025-04-27,Coat preparation,Road,L,3810.9941728915114
2025-08-05,Coat preparation,Road,L,3481.385227762025
2025-04-28,Subbase application,Road,m2,1699.2361791109317
2025-05-31,Foundation pouring,Building,m3,2419.853494205263
2025-11-12,Laying steel rail,Railway,m,4138.424179936202
2025-05-11,Walling,Building,m2,31.484353599137705
2025-01-11,Cement making,Building,m3,4393.957516278962
2025-07-08,Subbase application,Road,m2,978.6507048557752
2025-01-10,Cement making,Building,m3,1848.3262973578708
2025-09-16,Iron mining,Railway,m3,1422.1211625861674
2025-02-07,Pavement,Road,m2,3549.1316855903933
2025-07-17,Pavement,Road,m2,628.8386836467374
2025-12-23,Subbase application,Road,m2,3093.3282750024837
2025-10-04,Terrain leveling,Building,m3,2088.7156547486147
2025-02-02,Removing trees,Building,m2,4722.79258442396
2025-02-23,Anchorage,Railway,m2,1043.5365014451004
2025-03-19,Removing trees,Building,m2,107.93228017019207
2025-04-09,Ballast,Railway,m3,502.5820960301658
2025-02-14,Ballast,Railway,m3,2415.6689369316246
2025-04-05,Foundation pouring,Building,m3,4740.086061929835
2025-07-06,Laying steel rail,Railway,m,1510.0064381316015
2025-07-12,Foundation pouring,Building,m3,639.2770906496087
2025-04-09,Anchorage,Railway,m2,1616.1753460011014
2025-12-02,Iron mining,Railway,m3,376.1380615801657
2025-01-15,Foundation pouring,Building,m3,2326.022593530182
2025-05-02,Laying steel rail,Railway,m,1992.064758688809
2025-03-02,Rolling/Tractor,Road,m2,3250.284581227203
2025-07-07,Removing trees,Building,m2,2666.6454273889835
2025-09-29,Subbase application,Road,m2,4984.391459347397
2025-10-22,Walling,Building,m2,1607.5192222090773
2025-11-21,Subbase application,Road,m2,3884.640066309474
2025-12-03,Ballast,Railway,m3,3670.758245124417
2025-05-29,Rolling/Tractor,Road,m2,2721.4471359231484
